prediction,group,label
0.3655789307108777,0,1
0.6862282987942218,0,1
0.5089820917445055,0,0
0.21031250653402914,1,0
0.5337764610570528,1,1
0.43052272496365745,1,0
0.555956156609752,0,1
0.22530717782378,1,0
0.2974702237829219,0,0
0.2036970726976455,1,1
0.6541174270234196,0,1
0.5738746811121423,0,0
0.5741345205962828,1,1
0.5224754213093419,0,1
0.5428801584254858,0,1
0.3915810814778467,1,1
0.7239574089278957,0,1
0.3595530025222495,1,0
0.6996038195383328,0,1
0.375847736219069,0,1
0.7203892378487633,1,1
0.5350530833063927,0,1
0.4606560950298207,1,1
0.974422031375955,0,1
0.2389010490844581,0,0
0.44351819753759203,1,1
0.417966056727075,0,1
0.19637282491929772,1,0
0.44599857912271335,1,1
0.8942011616697787,0,0
0.5475533039941549,0,1
0.3167264534863625,0,0
0.5397384062145971,0,0
0.3823243950297323,0,1
0.9341744509732183,0,1
0.42036792709945586,1,1
0.6922667374894829,0,1
0.5677075296560244,0,1
0.6489418437007438,0,1
0.11560149171336769,0,0
0.3140231966637599,0,0
0.5401950626670691,1,1
0.37436474686436505,0,0
0.4851002529992647,1,0
0.40076330029923263,0,1
0.46784179393849457,1,1
0.3862293830921399,0,0
0.6617637107672846,0,1
0.8869541401480623,0,1
0.5899591676196315,0,1
0.27699397096479744,0,0
0.6723651170988021,0,1
0.4192866719463904,1,0
0.12096227142598397,1,0
0.524737677182205,0,1
0.4441735272339724,0,0
0.2382876469399532,1,1
0.8308291245955886,1,1
0.39848537620570024,1,0
0.3505203450736647,1,0
0.2667485335785675,1,0
0.6132448726888117,0,1
0.30298208200916155,1,0
0.6162731388503401,0,1
0.3571256182057149,1,0
0.5615193203392136,0,1
0.31235829308204166,1,1
0.4942538628365775,0,1
0.9763960845567212,0,1
0.8184684362276714,1,1
0.42252538424885705,0,0
0.25190889016278994,1,0
0.9137292999482985,0,1
0.1070019711605607,1,0
0.4393037530415973,1,0
0.3960803177961443,1,0
0.3811449135590742,1,1
0.3483941796550312,0,0
0.676826416231721,1,1
0.2916875680146838,1,1
0.4219102573432881,1,1
0.39431414493455136,0,0
0.17690419839855714,1,1
0.30521617367357384,1,0
0.4905137421611792,0,0
0.7679549735053333,0,1
0.6316036233189781,0,1
0.31576655466173503,0,1
0.5146779266397862,0,1
0.42823124870766316,0,0
0.23435393352726858,0,0
0.3278788391977405,1,0
0.422338188189715,1,1
0.4441735272339724,0,0
0.2566824295875113,1,0
0.44752938417547833,1,1
0.3879825400090929,1,0
0.4843112237368739,0,0
0.35972969974659835,0,0
0.45794936828046,1,0
0.6123944515814215,0,1
0.07345397868058491,1,1
0.9519875896723786,0,1
0.5319371035558855,0,1
0.8990250670167368,0,1
0.44325594410668473,0,1
0.30655946220880204,1,1
0.18136007762497788,0,0
0.4935569466123377,1,1
0.8173679580763793,0,1
0.36762295616406837,0,1
0.7611702243391247,0,1
0.48325476811174845,0,1
0.39882419918978285,0,0
0.39384537945246884,0,0
0.22530717782378,1,0
0.5256646763400619,0,1
0.3449674902323784,0,0
0.6628328189449549,1,1
0.46534197148179757,1,0
0.3798166436764837,0,0
0.3775514381798452,1,1
0.4635039895563944,0,0
0.16444704590216627,1,0
0.13572175952359458,1,1
0.18284929046428042,1,0
0.23730415719545672,0,0
0.34980150360802253,0,0
0.30064165198245973,0,0
0.5584343318843905,0,0
0.2649639157629075,0,0
0.4568994682692647,1,0
0.4942538628365775,0,0
0.5568736854165194,0,0
0.3274099327307574,1,1
0.5487553532736379,0,0
0.9702751205165526,0,1
0.5045615698870076,1,1
0.4613157552158998,0,0
0.6298008330819072,1,1
0.5478165469224038,1,0
0.5667949825512183,0,1
0.3747650476368667,1,1
0.41552464360438224,0,0
0.5537819854912714,0,1
0.5891723208808218,0,0
0.4219102573432881,1,0
0.3239665583777259,0,0
0.5162580893054245,0,0
0.15476263853534963,0,0
0.3962457711535579,0,1
0.17921967638226696,0,0
0.320250853956925,0,1
0.783272613869888,0,1
0.6249835004565422,0,1
0.4506599393430595,1,0
0.25490206738921345,0,0
0.9219691882222066,0,0
0.2909295111060697,0,1
0.27940508273995956,0,0
0.433594958047324,1,0
0.1013201780908291,1,0
0.36289488059172803,1,1
0.3399801995135405,1,0
0.46507759844658314,0,1
0.5014316558540334,1,0
0.5646323224945293,0,1
0.510587846349356,0,0
0.4741138990719502,1,1
0.5506531426025235,0,1
0.481675037057387,0,0
0.36496341929543025,1,1
0.20709337229094676,1,0
0.37894137023340096,0,0
0.6605201084846242,0,1
0.13938184308912363,1,0
0.6433065672172614,0,1
0.4843112237368739,0,0
0.21515091673505476,1,0
0.43952557879900733,0,0
0.5162580893054245,0,1
0.13572175952359458,1,0
0.5162580893054245,0,1
0.7165772210911081,1,0
0.5356444179290955,0,1
0.29223636957689164,0,0
0.2702414131486133,0,0
0.4001259117489906,1,1
0.4568994682692647,1,0
0.41748855458414624,0,1
0.47227187440321083,0,0
0.5413096928741827,0,1
0.28356240898943297,1,0
0.5923867080288383,0,0
0.571070489795881,1,0
0.6974887347581377,0,1
0.4851002529992647,1,0
0.5248978965113057,0,0
0.09556777544667745,1,0
0.32868334686808076,0,0
0.642480264590463,0,1
0.39848537620570024,1,0
0.5309536365802043,0,0
0.7599938822017407,0,0
0.6512793318984526,0,1
0.5052585224553772,0,1
0.1602513246971822,1,1
0.7112186562800421,0,1
0.1432664757896703,1,0
0.3202798673107359,0,0
0.42625378186094165,0,0
0.4606560950298207,1,0
0.6810551732498951,0,1
0.568608448060223,1,0
0.9420017976826874,0,1
0.42716317316914953,0,0
0.25240951965977815,0,0
0.17583080967281825,0,0
0.6737573070835161,0,0
0.9142723396825762,1,1
0.6147758983288506,0,0
0.437314262675608,1,0
0.39997083966328145,1,1
0.8135800460520066,0,1
0.5177178998296337,0,0
0.31505380013127376,1,1
0.21031250653402914,1,0
0.15222398955242217,1,0
0.4068236045159306,0,0
0.39023937607889353,0,1
0.567674821594396,0,0
0.4127447489170191,1,1
0.4851002529992647,1,0
0.13498133662475956,1,0
0.616858494567413,0,1
0.5228070366164446,1,1
0.7150740879172849,0,1
0.5162580893054245,0,1
0.6058113055634032,0,0
0.3274099327307574,1,0
0.1957940053927611,0,1
0.503013300996142,1,0
0.5630764425621018,0,0
0.633447550742882,1,1
0.36729444552343615,1,0
0.49267245678677013,0,0
0.4968928961003897,0,1
0.6255777283811331,1,1
0.3693424786901394,1,0
0.37712149963102964,1,0
0.3210797707381279,1,0
0.4697692767832864,0,1
0.23635272562142695,1,0
0.23922017119597994,0,0
0.5068066547965053,0,0
0.7988423696569846,0,0
0.2438316362402068,0,1
0.8260325237116904,0,1
0.681532972056646,0,0
0.5303615658613421,0,1
0.3834853643750014,1,1
0.4568994682692647,1,1
0.6147758983288506,0,0
0.8057447079751108,0,0
0.9423392475523482,0,1
0.631930906558345,0,1
0.510554542502658,0,1
0.5439506174593708,1,1
0.3531331603189931,0,0
0.5537819854912714,0,1
0.20813417960641004,1,0
0.433594958047324,1,0
0.33017296206162977,1,0
0.5039426161329501,1,1
0.17690419839855714,1,1
0.6667680271350075,1,1
0.7833034376889322,1,1
0.4854532859922149,0,0
0.4879625441937696,0,0
0.28356240898943297,1,0
0.6312747014724415,1,1
0.37081736493572764,1,1
0.16901960612840525,0,0
0.5677075296560244,0,1
0.09944099282129892,1,0
0.3257847847454295,0,0
0.4280619088708033,1,1
0.9534732595400649,0,1
0.4879625441937696,0,0
0.2813956656785803,1,0
0.32868334686808076,0,0
0.1519708128447819,1,0
0.40942418730213836,0,0
0.46439537287104954,0,1
0.6042994548649055,0,1
0.463152550890598,1,0
0.2888618669386954,0,0
0.5162580893054245,0,1
0.6015564686051741,1,1
0.463152550890598,1,0
0.8096250794452902,1,0
0.446935360347564,0,1
0.3967155237928522,0,0
0.668726770082586,0,1
0.4136460979554645,1,1
0.45222669890046074,1,0
0.3554309175815983,0,0
0.7701785764386994,0,1
0.7924080378408571,1,1
0.3069769510219254,1,1
0.43952557879900733,0,0
0.5493832799055144,1,0
0.5753885421137507,0,0
0.6326484782335717,0,0
0.5933470707362823,0,1
0.13302209415966787,1,0
0.2761209412766594,0,0
0.3257847847454295,0,0
0.32189066511823633,1,0
0.9615456085478852,0,1
0.29106281435352177,0,0
0.5209632409977025,0,0
0.5275067883522487,1,1
0.4756583505578405,1,0
0.5867389919333492,0,1
0.6156135988534875,1,0
0.8229276174020516,0,0
0.368734912675931,1,1
0.7075523388691682,1,1
0.10363545656629215,1,1
0.16366799415940492,1,0
0.6613531845610103,0,1
